song_name,duration,artist,album,album_cover,played_at
Lie,209133,Sasha Alex Sloan,Only Child,https://i.scdn.co/image/ab67616d0000b2731e4429a14d693b418b198056,2022-06-20T18:27:57.035Z
No Time To Die,242265,Billie Eilish,No Time To Die,https://i.scdn.co/image/ab67616d0000b273f7b7174bef6f3fbfda3a0bb7,2022-06-20T18:22:21.234Z
It Takes Two,159012,Fiji Blue,It Takes Two,https://i.scdn.co/image/ab67616d0000b2736cee58caa91f712f58dd5e9c,2022-06-20T18:18:18.427Z
Sanctuary,180018,Joji,Nectar,https://i.scdn.co/image/ab67616d0000b27353f6fa0d2589c6a7174f4b81,2022-06-20T18:15:38.812Z
Smile Like You Mean It,234106,The Killers,Hot Fuss,https://i.scdn.co/image/ab67616d0000b27356a6d6e493a8f338be63fc49,2022-06-20T17:47:56.581Z
The Climb,234520,Miley Cyrus,The Time Of Our Lives (International Version),https://i.scdn.co/image/ab67616d0000b2734ea6653890e297d53e93e3e0,2022-06-20T16:44:04.272Z
Electric (feat. Khalid),246327,Alina Baraz,The Color Of You,https://i.scdn.co/image/ab67616d0000b2733c054a9aaef660a1fabf87aa,2022-06-20T16:34:44.951Z
ocean eyes,200560,Billie Eilish,Ocean Eyes,https://i.scdn.co/image/ab67616d0000b2732cafcdd985630d72594ecc49,2022-06-20T16:22:05.940Z
Lie,209133,Sasha Alex Sloan,Only Child,https://i.scdn.co/image/ab67616d0000b2731e4429a14d693b418b198056,2022-06-20T16:18:45.327Z
No Time To Die,242265,Billie Eilish,No Time To Die,https://i.scdn.co/image/ab67616d0000b273f7b7174bef6f3fbfda3a0bb7,2022-06-20T16:15:15.486Z
Sanctuary,180018,Joji,Nectar,https://i.scdn.co/image/ab67616d0000b27353f6fa0d2589c6a7174f4b81,2022-06-20T16:11:13.149Z
Glimpse of Us,233456,Joji,Glimpse of Us,https://i.scdn.co/image/ab67616d0000b273f798d46201c266747be5db2e,2022-06-20T16:08:12.354Z
Canyon Moon,189786,Harry Styles,Fine Line,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,2022-06-20T16:02:16.323Z
Carolina,189613,Harry Styles,Harry Styles,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,2022-06-20T15:50:23.070Z
I Am Your Skin,181466,The Bravery,Stir The Blood,https://i.scdn.co/image/ab67616d0000b27336aa201824bbaf41208775fc,2022-06-20T15:24:02.081Z
